% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.266000E+001  0.190008E-002  0.957314E-003  0.212762E-002
 -0.500000E+001 -0.500000E+001  0.268000E+001  0.956152E-003  0.901857E-003  0.131437E-002
 -0.500000E+001 -0.500000E+001  0.270000E+001  0.885929E-003  0.173619E-002  0.194916E-002
 -0.500000E+001 -0.500000E+001  0.272000E+001 -0.125677E-002 -0.613967E-002  0.626698E-002
 -0.500000E+001 -0.500000E+001  0.274000E+001  0.487586E-002  0.861423E-003  0.495137E-002
 -0.500000E+001 -0.500000E+001  0.276000E+001  0.145028E-002  0.498240E-002  0.518918E-002
 -0.500000E+001 -0.500000E+001  0.278000E+001 -0.255235E-002  0.437115E-002  0.506177E-002
 -0.500000E+001 -0.500000E+001  0.280000E+001 -0.439113E-002  0.165062E-002  0.469111E-002
 -0.500000E+001 -0.500000E+001  0.282000E+001 -0.408631E-002 -0.104459E-002  0.421771E-002
 -0.500000E+001 -0.500000E+001  0.284000E+001 -0.256090E-002 -0.269443E-002  0.371728E-002
 -0.500000E+001 -0.500000E+001  0.286000E+001 -0.757312E-003 -0.313428E-002  0.322448E-002
 -0.500000E+001 -0.500000E+001  0.288000E+001  0.693732E-003 -0.266340E-002  0.275227E-002
 -0.500000E+001 -0.500000E+001  0.290000E+001  0.151870E-002 -0.173182E-002  0.230340E-002
 -0.500000E+001 -0.500000E+001  0.292000E+001  0.172164E-002 -0.746734E-003  0.187661E-002
 -0.500000E+001 -0.500000E+001  0.294000E+001  0.146970E-002  0.174320E-004  0.146980E-002
 -0.500000E+001 -0.500000E+001  0.296000E+001  0.989242E-003  0.436763E-003  0.108137E-002
 -0.500000E+001 -0.500000E+001  0.298000E+001  0.491077E-003  0.513643E-003  0.710624E-003
 -0.500000E+001 -0.500000E+001  0.300000E+001  0.127800E-003  0.334240E-003  0.357840E-003
 -0.500000E+001 -0.500000E+001  0.302000E+001 -0.216901E-004  0.240709E-004  0.324017E-004
 -0.500000E+001 -0.500000E+001  0.304000E+001  0.520896E-004 -0.289451E-003  0.294101E-003
 -0.500000E+001 -0.500000E+001  0.306000E+001  0.305278E-003 -0.503195E-003  0.588558E-003
 -0.500000E+001 -0.500000E+001  0.308000E+001  0.661516E-003 -0.552401E-003  0.861830E-003
 -0.500000E+001 -0.500000E+001  0.310000E+001  0.103277E-002 -0.414451E-003  0.111283E-002
 -0.500000E+001 -0.500000E+001  0.312000E+001  0.133682E-002 -0.104800E-003  0.134092E-002
 -0.500000E+001 -0.500000E+001  0.314000E+001  0.150974E-002  0.330942E-003  0.154559E-002
 -0.500000E+001 -0.500000E+001  0.316000E+001  0.164231E-001  0.142301E-002  0.164846E-001
 -0.500000E+001 -0.500000E+001  0.318000E+001 -0.335200E-002  0.490491E-002  0.594088E-002
 -0.500000E+001 -0.500000E+001  0.320000E+001 -0.201126E-002 -0.134899E-002  0.242176E-002
 -0.500000E+001 -0.500000E+001  0.322000E+001  0.183054E-002 -0.124104E-002  0.221157E-002
 -0.500000E+001 -0.500000E+001  0.324000E+001  0.297609E-002  0.156716E-002  0.336349E-002
 -0.500000E+001 -0.500000E+001  0.326000E+001  0.155792E-002  0.389016E-002  0.419052E-002
 -0.500000E+001 -0.500000E+001  0.328000E+001 -0.880956E-003  0.451967E-002  0.460473E-002
 -0.500000E+001 -0.500000E+001  0.330000E+001 -0.301138E-002  0.359939E-002  0.469298E-002
 -0.500000E+001 -0.500000E+001  0.332000E+001 -0.415487E-002  0.183739E-002  0.454301E-002
 -0.500000E+001 -0.500000E+001  0.334000E+001 -0.422635E-002 -0.275072E-004  0.422644E-002
 -0.500000E+001 -0.500000E+001  0.336000E+001 -0.350047E-002 -0.148319E-002  0.380173E-002
 -0.500000E+001 -0.500000E+001  0.338000E+001 -0.238017E-002 -0.230552E-002  0.331370E-002
 -0.500000E+001 -0.500000E+001  0.340000E+001 -0.123589E-002 -0.250898E-002  0.279685E-002
 -0.500000E+001 -0.500000E+001  0.342000E+001 -0.321877E-003 -0.225548E-002  0.227833E-002
 -0.500000E+001 -0.500000E+001  0.344000E+001  0.246248E-003 -0.176224E-002  0.177936E-002
 -0.500000E+001 -0.500000E+001  0.346000E+001  0.471490E-003 -0.123208E-002  0.131921E-002
 -0.500000E+001 -0.500000E+001  0.348000E+001  0.436554E-003 -0.811661E-003  0.921614E-003
 -0.500000E+001 -0.500000E+001  0.350000E+001  0.260811E-003 -0.576127E-003  0.632412E-003
 -0.500000E+001 -0.500000E+001  0.352000E+001  0.634985E-004 -0.533561E-003  0.537326E-003
 -0.500000E+001 -0.500000E+001  0.354000E+001 -0.618298E-004 -0.641595E-003  0.644567E-003
 -0.500000E+001 -0.500000E+001  0.356000E+001 -0.605154E-004 -0.829053E-003  0.831259E-003
 -0.500000E+001 -0.500000E+001  0.358000E+001  0.170128E-003 -0.917453E-003  0.933093E-003
 -0.500000E+001 -0.500000E+001  0.360000E+001  0.554736E-003 -0.153611E-002  0.163320E-002
 -0.500000E+001 -0.500000E+001  0.362000E+001  0.132103E-002 -0.900875E-002  0.910509E-002
 -0.500000E+001 -0.500000E+001  0.364000E+001  0.565498E-002  0.483489E-003  0.567561E-002
 -0.500000E+001 -0.500000E+001  0.366000E+001  0.944833E-003  0.260554E-002  0.277156E-002
 -0.500000E+001 -0.500000E+001  0.368000E+001 -0.112820E-002  0.172358E-003  0.114129E-002
 -0.500000E+001 -0.500000E+001  0.370000E+001 -0.289000E-004 -0.194344E-002  0.194365E-002
 -0.500000E+001 -0.500000E+001  0.372000E+001  0.208021E-002 -0.205342E-002  0.292298E-002
