% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.356000E+001 -0.516549E-004 -0.829055E-003  0.830663E-003
 -0.500000E+001 -0.500000E+001  0.358000E+001  0.131418E-003 -0.101720E-002  0.102565E-002
 -0.500000E+001 -0.500000E+001  0.360000E+001  0.127506E-002 -0.113699E-002  0.170837E-002
 -0.500000E+001 -0.500000E+001  0.362000E+001  0.105128E-002 -0.864963E-002  0.871328E-002
 -0.500000E+001 -0.500000E+001  0.364000E+001  0.533662E-002  0.795182E-003  0.539554E-002
 -0.500000E+001 -0.500000E+001  0.366000E+001  0.586131E-003  0.286363E-002  0.292300E-002
 -0.500000E+001 -0.500000E+001  0.368000E+001 -0.151839E-002  0.372023E-003  0.156330E-002
 -0.500000E+001 -0.500000E+001  0.370000E+001 -0.441227E-003 -0.180561E-002  0.185874E-002
 -0.500000E+001 -0.500000E+001  0.372000E+001  0.165535E-002 -0.197936E-002  0.258032E-002
 -0.500000E+001 -0.500000E+001  0.374000E+001  0.303872E-002 -0.567676E-003  0.309129E-002
 -0.500000E+001 -0.500000E+001  0.376000E+001  0.308025E-002  0.132906E-002  0.335475E-002
 -0.500000E+001 -0.500000E+001  0.378000E+001  0.199519E-002  0.277931E-002  0.342130E-002
 -0.500000E+001 -0.500000E+001  0.380000E+001  0.378995E-003  0.332635E-002  0.334787E-002
 -0.500000E+001 -0.500000E+001  0.382000E+001 -0.116342E-002  0.296307E-002  0.318329E-002
 -0.500000E+001 -0.500000E+001  0.384000E+001 -0.222006E-002  0.196648E-002  0.296576E-002
 -0.500000E+001 -0.500000E+001  0.386000E+001 -0.262769E-002  0.715299E-003  0.272331E-002
 -0.500000E+001 -0.500000E+001  0.388000E+001 -0.243409E-002 -0.448528E-003  0.247507E-002
 -0.500000E+001 -0.500000E+001  0.390000E+001 -0.181817E-002 -0.129594E-002  0.223276E-002
 -0.500000E+001 -0.500000E+001  0.392000E+001 -0.100606E-002 -0.173121E-002  0.200231E-002
 -0.500000E+001 -0.500000E+001  0.394000E+001 -0.204795E-003 -0.177364E-002  0.178542E-002
 -0.500000E+001 -0.500000E+001  0.396000E+001  0.437681E-003 -0.151930E-002  0.158109E-002
 -0.500000E+001 -0.500000E+001  0.398000E+001  0.846819E-003 -0.109820E-002  0.138677E-002
 -0.500000E+001 -0.500000E+001  0.400000E+001  0.101538E-002 -0.637540E-003  0.119894E-002
 -0.500000E+001 -0.500000E+001  0.402000E+001  0.981063E-003 -0.236426E-003  0.100915E-002
 -0.500000E+001 -0.500000E+001  0.404000E+001  0.736901E-003  0.466509E-004  0.738376E-003
 -0.500000E+001 -0.500000E+001  0.406000E+001  0.183014E-001 -0.435231E-002  0.188118E-001
 -0.500000E+001 -0.500000E+001  0.408000E+001 -0.471369E-002  0.175034E-002  0.502817E-002
 -0.500000E+001 -0.500000E+001  0.410000E+001 -0.244484E-003 -0.367051E-002  0.367864E-002
 -0.500000E+001 -0.500000E+001  0.412000E+001  0.329180E-002 -0.116255E-002  0.349105E-002
 -0.500000E+001 -0.500000E+001  0.414000E+001  0.251357E-002  0.187552E-002  0.313618E-002
 -0.500000E+001 -0.500000E+001  0.416000E+001  0.194638E-003  0.253258E-002  0.254005E-002
 -0.500000E+001 -0.500000E+001  0.418000E+001 -0.129213E-002  0.132592E-002  0.185140E-002
 -0.500000E+001 -0.500000E+001  0.420000E+001 -0.125503E-002 -0.257783E-003  0.128124E-002
 -0.500000E+001 -0.500000E+001  0.422000E+001 -0.167723E-003 -0.112493E-002  0.113737E-002
 -0.500000E+001 -0.500000E+001  0.424000E+001  0.112150E-002 -0.937290E-003  0.146160E-002
 -0.500000E+001 -0.500000E+001  0.426000E+001  0.192912E-002  0.547958E-004  0.192990E-002
 -0.500000E+001 -0.500000E+001  0.428000E+001  0.195068E-002  0.133722E-002  0.236502E-002
 -0.500000E+001 -0.500000E+001  0.430000E+001  0.124125E-002  0.241176E-002  0.271243E-002
 -0.500000E+001 -0.500000E+001  0.432000E+001  0.823008E-004  0.295716E-002  0.295831E-002
 -0.500000E+001 -0.500000E+001  0.434000E+001 -0.117188E-002  0.287418E-002  0.310390E-002
 -0.500000E+001 -0.500000E+001  0.436000E+001 -0.221440E-002  0.225036E-002  0.315716E-002
 -0.500000E+001 -0.500000E+001  0.438000E+001 -0.285268E-002  0.128615E-002  0.312922E-002
 -0.500000E+001 -0.500000E+001  0.440000E+001 -0.302482E-002  0.216103E-003  0.303253E-002
 -0.500000E+001 -0.500000E+001  0.442000E+001 -0.277950E-002 -0.753754E-003  0.287989E-002
 -0.500000E+001 -0.500000E+001  0.444000E+001 -0.223657E-002 -0.148324E-002  0.268370E-002
 -0.500000E+001 -0.500000E+001  0.446000E+001 -0.154256E-002 -0.191017E-002  0.245525E-002
 -0.500000E+001 -0.500000E+001  0.448000E+001 -0.823148E-003 -0.204266E-002  0.220228E-002
 -0.500000E+001 -0.500000E+001  0.450000E+001  0.173635E-003 -0.193936E-002  0.194712E-002
 -0.500000E+001 -0.500000E+001  0.452000E+001  0.143388E-002 -0.883568E-002  0.895127E-002
 -0.500000E+001 -0.500000E+001  0.454000E+001  0.337214E-002  0.184270E-002  0.384277E-002
 -0.500000E+001 -0.500000E+001  0.456000E+001 -0.187400E-002  0.118189E-002  0.221557E-002
 -0.500000E+001 -0.500000E+001  0.458000E+001 -0.177490E-002 -0.229694E-002  0.290279E-002
 -0.500000E+001 -0.500000E+001  0.460000E+001  0.837834E-003 -0.313470E-002  0.324474E-002
 -0.500000E+001 -0.500000E+001  0.462000E+001  0.256422E-002 -0.160456E-002  0.302487E-002
 -0.500000E+001 -0.500000E+001  0.464000E+001  0.243526E-002  0.333354E-003  0.245797E-002
 -0.500000E+001 -0.500000E+001  0.466000E+001  0.115245E-002  0.131764E-002  0.175052E-002
 -0.500000E+001 -0.500000E+001  0.468000E+001 -0.176143E-003  0.108476E-002  0.109897E-002
 -0.500000E+001 -0.500000E+001  0.470000E+001 -0.805667E-003  0.111800E-003  0.813387E-003
 -0.500000E+001 -0.500000E+001  0.472000E+001 -0.563258E-003 -0.912526E-003  0.107236E-002
 -0.500000E+001 -0.500000E+001  0.474000E+001  0.286773E-003 -0.146589E-002  0.149368E-002
 -0.500000E+001 -0.500000E+001  0.476000E+001  0.129485E-002 -0.134538E-002  0.186727E-002
 -0.500000E+001 -0.500000E+001  0.478000E+001  0.204826E-002 -0.644029E-003  0.214712E-002
 -0.500000E+001 -0.500000E+001  0.480000E+001  0.230060E-002  0.364694E-003  0.232933E-002
 -0.500000E+001 -0.500000E+001  0.482000E+001  0.200503E-002  0.136046E-002  0.242301E-002
 -0.500000E+001 -0.500000E+001  0.484000E+001  0.127796E-002  0.208096E-002  0.244205E-002
 -0.500000E+001 -0.500000E+001  0.486000E+001  0.328556E-003  0.237912E-002  0.240170E-002
 -0.500000E+001 -0.500000E+001  0.488000E+001 -0.615675E-003  0.223369E-002  0.231699E-002
